2021-10-11 22:52:18.004 +06:00 [INF] Worker running at: "2021-10-11T22:52:18.0048935+06:00"
2021-10-11 22:52:48.013 +06:00 [INF] no file to delete
2021-10-11 22:52:48.013 +06:00 [INF] Worker running at: "2021-10-11T22:52:48.0135995+06:00"
2021-10-11 22:53:18.039 +06:00 [INF] no file to delete
2021-10-11 22:53:18.039 +06:00 [INF] Worker running at: "2021-10-11T22:53:18.0390960+06:00"
2021-10-11 22:53:48.050 +06:00 [INF] no file to delete
2021-10-11 22:53:48.050 +06:00 [INF] Worker running at: "2021-10-11T22:53:48.0505865+06:00"
2021-10-11 22:54:18.051 +06:00 [INF] no file to delete
2021-10-11 22:54:18.053 +06:00 [INF] Worker running at: "2021-10-11T22:54:18.0534353+06:00"
2021-10-11 22:54:48.055 +06:00 [INF] no file to delete
2021-10-11 22:54:48.055 +06:00 [INF] Worker running at: "2021-10-11T22:54:48.0553217+06:00"
2021-10-11 22:55:18.072 +06:00 [INF] no file to delete
2021-10-11 22:55:18.074 +06:00 [INF] Worker running at: "2021-10-11T22:55:18.0739876+06:00"
2021-10-11 22:55:48.088 +06:00 [INF] no file to delete
2021-10-11 22:55:48.088 +06:00 [INF] Worker running at: "2021-10-11T22:55:48.0883520+06:00"
2021-10-11 22:56:18.091 +06:00 [INF] no file to delete
2021-10-11 22:56:18.091 +06:00 [INF] Worker running at: "2021-10-11T22:56:18.0919435+06:00"
2021-10-11 22:56:48.103 +06:00 [INF] no file to delete
2021-10-11 22:56:48.103 +06:00 [INF] Worker running at: "2021-10-11T22:56:48.1032030+06:00"
2021-10-11 22:57:18.124 +06:00 [INF] no file to delete
2021-10-11 22:57:18.124 +06:00 [INF] Worker running at: "2021-10-11T22:57:18.1246462+06:00"
2021-10-11 22:57:48.135 +06:00 [INF] no file to delete
2021-10-11 22:57:48.135 +06:00 [INF] Worker running at: "2021-10-11T22:57:48.1358053+06:00"
2021-10-11 22:58:18.164 +06:00 [INF] no file to delete
2021-10-11 22:58:18.165 +06:00 [INF] Worker running at: "2021-10-11T22:58:18.1650142+06:00"
2021-10-11 22:58:48.180 +06:00 [INF] no file to delete
2021-10-11 22:58:48.180 +06:00 [INF] Worker running at: "2021-10-11T22:58:48.1807936+06:00"
2021-10-11 22:59:18.195 +06:00 [INF] no file to delete
2021-10-11 22:59:18.195 +06:00 [INF] Worker running at: "2021-10-11T22:59:18.1958055+06:00"
2021-10-11 22:59:48.203 +06:00 [INF] no file to delete
2021-10-11 22:59:48.203 +06:00 [INF] Worker running at: "2021-10-11T22:59:48.2033635+06:00"
2021-10-11 23:00:18.219 +06:00 [INF] no file to delete
2021-10-11 23:00:18.220 +06:00 [INF] Worker running at: "2021-10-11T23:00:18.2205749+06:00"
2021-10-11 23:00:48.226 +06:00 [INF] no file to delete
2021-10-11 23:00:48.226 +06:00 [INF] Worker running at: "2021-10-11T23:00:48.2265142+06:00"
2021-10-11 23:01:18.246 +06:00 [INF] no file to delete
2021-10-11 23:01:18.246 +06:00 [INF] Worker running at: "2021-10-11T23:01:18.2464011+06:00"
2021-10-11 23:01:48.257 +06:00 [INF] no file to delete
2021-10-11 23:01:48.257 +06:00 [INF] Worker running at: "2021-10-11T23:01:48.2575100+06:00"
2021-10-11 23:02:18.268 +06:00 [INF] no file to delete
2021-10-11 23:02:18.268 +06:00 [INF] Worker running at: "2021-10-11T23:02:18.2687164+06:00"
2021-10-11 23:02:48.272 +06:00 [INF] no file to delete
2021-10-11 23:02:48.272 +06:00 [INF] Worker running at: "2021-10-11T23:02:48.2724562+06:00"
2021-10-11 23:03:18.301 +06:00 [INF] no file to delete
2021-10-11 23:03:18.301 +06:00 [INF] Worker running at: "2021-10-11T23:03:18.3016199+06:00"
2021-10-11 23:03:48.314 +06:00 [INF] no file to delete
2021-10-11 23:03:48.314 +06:00 [INF] Worker running at: "2021-10-11T23:03:48.3144791+06:00"
2021-10-11 23:04:18.323 +06:00 [INF] no file to delete
2021-10-11 23:04:18.325 +06:00 [INF] Worker running at: "2021-10-11T23:04:18.3251797+06:00"
2021-10-11 23:04:48.337 +06:00 [INF] no file to delete
2021-10-11 23:04:48.337 +06:00 [INF] Worker running at: "2021-10-11T23:04:48.3378659+06:00"
2021-10-11 23:05:18.350 +06:00 [INF] no file to delete
2021-10-11 23:05:18.350 +06:00 [INF] Worker running at: "2021-10-11T23:05:18.3506616+06:00"
2021-10-11 23:05:48.379 +06:00 [INF] no file to delete
2021-10-11 23:05:48.379 +06:00 [INF] Worker running at: "2021-10-11T23:05:48.3799144+06:00"
2021-10-11 23:06:18.380 +06:00 [INF] no file to delete
2021-10-11 23:06:18.382 +06:00 [INF] Worker running at: "2021-10-11T23:06:18.3823674+06:00"
2021-10-11 23:06:48.404 +06:00 [INF] no file to delete
2021-10-11 23:06:48.405 +06:00 [INF] Worker running at: "2021-10-11T23:06:48.4050751+06:00"
